date,TRENT,BEL,M&M,BAJAJ-AUTO,BHARTIARTL
2023-10-04 05:30:00,0.9821281142246613,0.9974856321839081,0.9900481332119161,0.9804941741669907,0.9988652328974387
2023-10-05 05:30:00,0.9944150356952067,0.9982040229885057,1.0003577468453233,0.9989235415483061,1.0038365935372313
2023-10-06 05:30:00,1.0063134379097665,0.9985632183908048,1.0074476388708207,0.999631213308216,1.000810547930401
2023-10-09 05:30:00,1.0096886989461418,0.9752155172413794,0.9855600364251332,0.998176000956852,0.9991894520695991
2023-10-10 05:30:00,0.9959691127191493,1.0053879310344829,1.000292701964355,1.004196194520029,1.0249108397276558
2023-10-11 05:30:00,1.0204943907532418,0.9895833333333335,1.0122934825029266,1.0095585523627266,1.0327461363881985
2023-10-12 05:30:00,1.0087902481666746,0.9928160919540231,1.019025627683101,1.017970875818557,1.0270723008753917
2023-10-13 05:30:00,1.0124811810985381,0.9874281609195403,1.0162937426824505,1.0071664224700734,1.0312331135847832
2023-10-16 05:30:00,1.0235782623476275,0.9870689655172417,1.0241641732795623,1.0120104855026961,1.0229655246946934
2023-10-17 05:30:00,1.0096644164926423,0.9953304597701151,1.0254975933394037,1.024878150883593,1.0306387117691558
2023-10-18 05:30:00,0.9950706619396822,0.9845545977011496,1.024359307922466,1.0241007086684806,1.0297741273100616
2023-10-19 05:30:00,1.000728473604973,0.9841954022988506,1.020911929231169,1.0929242791216895,1.019074894628769
2023-10-20 05:30:00,0.9888543538439125,0.9640804597701149,1.0135618576818,1.0942598849784209,1.021506538419972
2023-10-23 05:30:00,0.9673886649507067,0.9533045977011494,1.018049954468583,1.0775349101456206,1.015130228034151
2023-10-25 05:30:00,0.9680200087416833,0.942528735632184,1.0206192272668135,1.0659530145820248,0.9970820274505565
2023-10-26 05:30:00,0.9864018260405032,0.9256465517241381,0.9796409522570568,1.0484206959104543,0.9786015346374148
2023-10-27 05:30:00,1.030595891408868,0.9497126436781611,0.9826980616625466,1.0711857987222035,0.9884361828596132
2023-10-30 05:30:00,1.0294546160944102,0.9479166666666669,0.9742422271367237,1.0582981989255345,1.0010266940451746
2023-10-31 05:30:00,1.0464280510902821,0.9572557471264369,0.9487446337973195,1.0593248213377982,0.9882200367448396
2023-11-01 05:30:00,1.0672866786460107,0.9511494252873565,0.9461428385586048,1.0653649493167474,0.9871933426996652
2023-11-02 05:30:00,1.0634986159001507,0.9680316091954025,0.9559646155847529,1.0601919684238847,0.9984329406678917
2023-11-03 05:30:00,1.0667281822155312,0.9766522988505748,0.9555093014179777,1.0702688155966862,1.0058899816275804
2023-11-06 05:30:00,1.0845515030838717,0.9888649425287358,0.9680629634447762,1.077823959174316,1.0150221549767644
2023-11-07 05:30:00,1.1772133456364435,0.9917385057471267,0.9625016261220235,1.0802459906906272,1.012806657300335
2023-11-08 05:30:00,1.191224321305425,1.0086206896551728,0.9674775595160654,1.0759800257153957,1.0123743650707877
2023-11-09 05:30:00,1.203462677868972,0.9910201149425291,1.0095290750617918,1.080226056274855,1.0076191505457688
2023-11-10 05:30:00,1.208950512359769,0.9971264367816097,0.9913490308312727,1.0748736656400435,1.0110234518534527
2023-11-12 05:30:00,1.2113301928026812,1.0028735632183912,0.9927474957720819,1.084940545604959,1.0137252782881225
2023-11-13 05:30:00,1.242800252537517,1.0301724137931039,1.0018537791075834,1.081481924468498,1.0104830865665186
2023-11-15 05:30:00,1.239934923024623,1.027658045977012,1.0043905294653304,1.1037087980544003,1.0266940451745377
2023-11-16 05:30:00,1.2358311883832747,1.0244252873563222,1.0208794067906848,1.1065394850940398,1.026207716416297
2023-11-17 05:30:00,1.251226263901705,1.0495689655172418,1.0306686613763487,1.1226066242063601,1.0237760726250942
2023-11-20 05:30:00,1.2737360982953723,1.0334051724137934,1.0096266423832436,1.1263243927478586,1.039014373716632
2023-11-21 05:30:00,1.269365256665534,1.0262212643678164,1.0145375308963176,1.133460913594274,1.0492272776396838
2023-11-22 05:30:00,1.2758729542032932,1.0190373563218393,1.0039352152985552,1.1465378903407781,1.048038474008429
2023-11-23 05:30:00,1.2894225632557919,1.0010775862068968,1.0054962924417838,1.1811639705369326,1.0554955149681178
2023-11-24 05:30:00,1.2868243407313877,1.0082614942528736,1.0102770911929222,1.182170658533424,1.05171295795958
2023-11-28 05:30:00,1.2975329027244915,1.0150862068965518,1.0186353583972931,1.1956961596348004,1.0644115422025284
2023-11-29 05:30:00,1.2997911708999081,1.0129310344827587,1.053141667750747,1.2100090701591752,1.0757592132281417
2023-11-30 05:30:00,1.3535039580399209,1.048132183908046,1.0717770261480413,1.2141155598082298,1.0966173133037929
2023-12-01 05:30:00,1.363556893788549,1.0592672413793103,1.0573045401326906,1.205244744789641,1.0966173133037929
2023-12-04 05:30:00,1.3680005827788848,1.1030890804597702,1.0776961103161171,1.2362726629389298,1.1162866097481894
2023-12-05 05:30:00,1.3961196639308444,1.0919540229885056,1.0966892155587347,1.2239930628233102,1.114341294715227
2023-12-06 05:30:00,1.3927686853479684,1.12176724137931,1.1073240535969813,1.2100090701591752,1.1071544363990053
2023-12-07 05:30:00,1.3817687339128755,1.1519396551724135,1.100982177702614,1.2147235594892791,1.0807305738679345
2023-12-08 05:30:00,1.3798747025399458,1.1404454022988504,1.0853063613893579,1.2111552990660714,1.0810007565114015
2023-12-11 05:30:00,1.3993492302462254,1.158405172413793,1.0746715233511115,1.2236541777551841,1.0816491948557223
2023-12-12 05:30:00,1.4003933757466867,1.1551724137931034,1.0637439833485098,1.2467382312192872,1.075597103642062
